title,release_year,num_episodes,rating_type,rating_score,cast,short_description
Red Sleeve,2021–2022,17,imdb,8.4,"Park Seo-Kyeong, Lee Ji-wan, Jung Ye-Nok","Based on a novel of the same name, it tells the record of a royal court romance between the King of Joseon who places his duty to his country first above love, and a court lady who wants to protect the life she has chosen."
Itaewon Class,2020,16,imdb,8.1,"Gwang Jin, Park Seo-joon, Kim Da-mi, Yoo Jae-myung","An ex-con opens a street bar in Itaewon, while also seeking revenge on the family who was responsible for his father's death."
Hospital Playlist,2020–2021,24,imdb,8.7,"Jo Jung-suk, Yoo Yeon-seok, Jung Kyung-ho",Hospital Playlist tells the story of five doctors who have been friends since they entered medical school in 1999.
It's Okay to Not Be Okay,2020,16,imdb,8.6,"Kim Soo-hyun, Seo Ye-ji, Oh Jung-se",An extraordinary road to emotional healing opens up for an selfish antisocial children's-book writer and a selfless psych-ward caretaker when they cross paths.
Our Beloved Summer,2021–2022,16,imdb,8.2,"Choi Woo-sik, Kim Da-mi, Roh Jeong-eui","A coming of age, romantic comedy revolving around ex-lovers who broke up with a promise never to meet again. But the documentary they filmed ten years ago gets the fame and they are by compulsion facing camera once more."
Those Who Read the Hearts of Evil,2022,12,imdb,8.0,"Kim Nam-gil, Jin Seon-kyu, Ryeoun","A crime thriller drama based on a web novel of the same name that contains the field experience of Kwon Il Yong, Korea's No. 1 profiler."
Squid Game,2021–2025,22,imdb,8.0,"Hwang Dong-hyuk, Lee Jung-jae, Wi Ha-joon, Jeon Young-soo","Hundreds of cash-strapped players accept a strange invitation to compete in children's games. A tempting prize awaits, but with deadly high stakes."
The Glory,2022–2023,16,imdb,8.2,"Song Hye-kyo, Lee Do-hyun, Lim Ji-yeon",A woman lives for absolute revenge against her childhood bullies who destroyed her life.
Heirs,2013,20,imdb,7.5,"Lee Min-ho, Park Shin-hye, Kim Woo-bin","After a chance encounter in LA, two teens from different social backgrounds reunite at an exclusive high school attended by Korea's über rich."
City Hunter,2011,20,imdb,8.0,"Lee Min-ho, Park Min-young, Kim Sang-jung","Lee Yoon Sung is a talented MIT-graduate who works on the international communications team in the Blue House. He plans revenge on five politicians who caused his father's death and eventually becomes a ""City Hunter""."
The Moon Embracing the Sun,2012,20,imdb,7.9,"Han Ga-in, Kim Soo-hyun, Jung Il-woo","Set against the backdrop of a Korean traditional palace, this fantasy drama tells the poignant love story between a king and a female shaman."
Misaeng,2014,20,imdb,8.5,"Yim Si-wan, Lee Sung-min, Kang So-ra","This a Drama series about a group of co-workers in their twenties who started their job at a big multinational company. This is a story about their everyday life, about their journey each day at the office."
Secret Garden,2010–2011,20,imdb,8.0,"Ha Ji-Won, Hyun Bin, Yoon Sang-Hyun","Gil Ra-im is a tough stuntwoman with a soft heart. Kim Joo-won is a nit-picky CEO with a long list of complexes. Love-struck, Joo-won barges into Ra-im's life in all the wrong ways, trying to make sense of his illogical feelings."
I Hear Your Voice,2013,18,imdb,8.0,"Lee Bo-young, Lee Jong-suk, Yoon Sang-Hyun",A sharp female lawyer with no filter teams up with a public defender and a high-school student with special gifts to bring down a killer with a personal vendetta.
Dream High,2011–2012,33,imdb,7.6,"J.Y. Park, Bae Suzy, Kim Soo-hyun","The story of six students at Kirin Art High School who work to achieve their dreams of becoming stars in the Korean music industry. Along the way, they discover the true meaning of friendship, love and life."
Reply 1997,2012–2013,16,imdb,7.9,"Jung Eun-ji, Seo In-guk, Hoya",This drama will focus on the extreme fan culture that emerged in the 1990s when idol groups took center stage and K-pop was blossoming.
Guardian: The Lonely and Great God,2016–2017,16,imdb,8.6,"Gong Yoo, Kim Go-eun, Lee Dong-wook","In his quest for a bride to break his immortal curse, Dokkaebi, a 939-year-old guardian of souls, meets a grim reaper and a sprightly student with a tragic past."
Mr. Sunshine,2018,24,imdb,8.7,"Lee Byung-hun, Kim Tae-ri, Yoo Yeon-seok",A young boy who ends up in the U.S. after the 1871 Shinmiyangyo incident returns to Korea at a historical turning point and falls for a noblewoman.
Descendants of the Sun,2016,19,imdb,8.2,"Song Joong-ki, Song Hye-kyo, Jin Goo",This drama tells of the love story that develops between a surgeon and a special forces officer.
