title,release_year,num_episodes,rating_type,rating_score,cast,short_description,network_provider,screenwriter,director,plot,source
The 1st Shop of Coffee Prince,2007,17,imdb,8.1,"Gong Yoo, Yoon Eun-hye, Lee Sun-kyun","A tomboy, mistaken for a lad, maintains the deception for the sake of employment. The situation becomes complicated when her male boss begins to develop feelings for this ""boy.""",Munhwa Broadcasting Corporation,"Lee Jung-ah, Jang Hyun-joo",Lee Yoon-jung,"Choi Han-gyeol (Gong Yoo) is the grandson of chairwoman Bang (Kim Young-ok) of Dong-in Foods, a company that has a thriving coffee business. He has never had a job and does not care for responsibility. Han-gyeol is hung up on his first love, Han Yoo-joo (Chae Jung-an), who only sees him as a friend. Go Eun-chan (Yoon Eun-hye) is a 24-year-oldtomboywho is often mistaken for a guy. Her father died when she was 16 years old and since then she has taken over as the breadwinner in her family. When Han-gyeol and Eun-chan meet, he, not knowing that she is a girl, decides to hire her to pretend to be his gay lover so that he can escape the blind dates arranged by his grandmother. After getting an ultimatum from his grandmother, Han-gyeol takes over a rundown old coffee shop, later renamed ""Coffee Prince,"" to prove that he's capable, both to his grandmother and to Yoo-joo. In order to attract female customers, he only hires good-looking male employees. Eun-chan, desperate for money, continues to hide her gender to get a job at Coffee Prince. Soon, feelings start to develop between Eun-chan and Han-gyeol. As Han-gyeol is unaware that Eun-chan is a woman, he starts to question his sexuality and is thrown into turmoil. Many of the scenes filmed on location inSeoulare as follows:[7] In 2011, theHongdae areaand the coffee shop were featured in aNational Geographic Channel-produced documentary on theKorean WavetitledSeoul's Got Soul.[8] Source:TNS Media Korea It aired in Japan onFuji TVbeginning August 11, 2010 as part of the network's ""HallyuAlpha Summer Festival.""[10] It aired in the Philippines onGMA Networkfrom January 1 to March 19, 2008 and received high ratings during its run.[11]The series was re-aired with English subtitles onAnimax Asiain 2010 and onGMA News TVfrom September 19 to October 14, 2016 at 11:00pm. It aired in Thailand onChannel 7beginning April 19, 2008.[12] It aired in Indonesia onIndosiar&Global TV. The series aired in Malaysia in 2010 onAnimax Asiawith Malay dub and English subtitles.[13] It aired in the Middle East onMBC 4beginning December 8, 2013,dubbedasMakha al amir. It was dubbed inTamiland aired inIndiaonPuthuyugam TVbeginning October 2014. It aired inChileonETCbeginning September 2016. In 2012, the TV series wasremadeinThailand[14]and thePhilippines(for the latter, seeCoffee Prince (2012 TV series)).[15] In 2017, the Malaysian remake ofCoffee Princedirected by Michael Ang was aired onAstro Ria.[16] In 2018, a Chinese remake of the series titledPrince Coffee Lab, directed by Kang Shin-hyo ofThe Heirs, was aired.[17]",https://en.wikipedia.org/wiki/Coffee_Prince_(2007_TV_series)
Jewel in the Palace,2003–2004,54,imdb,8.4,"Lee Yeong-ae, Hong Ri-na, Ji Jin-hee","A series based on a real person in Korean history, Suh, Jang-geum.",Munhwa Broadcasting Corporation,Kim Young-hyun,Lee Byung-hoon,"The story is set in Korea during the reigns ofKing Seongjong(1457–1494),King Yeonsangun(1494–1506) andKing Jungjong(1506–1544). The epilogue also spans through the reigns ofKing Injong(1544–1545) andKing Myeongjong(1545–1567), with the last scene from March 1550. At the outset, King Seongjong has ordered theforced suicidebypoisoningof his wife, theDeposed Queen Yun, mother of the crown prince (future Yeonsan-gun). After carrying out the execution, one of the royal guards, Seo Cheon-soo, is haunted by the cursing of the executed queen. On his way home, Seo accidentally fells off a cliff and is rescued by a mysteriousTaoisthermitwith a cryptic message – that his life will revolve around three women: the first he has killed, but has never truly died; another he will save, but will die because of him; and the third will kill him, but will go on to save many lives. The hermit also leaves Seo threeHanjacharactersand refuses to elaborate any further before magically vanishing, and it doesn't become clear until later in the story that the three women are the deposed Queen Yun, Park Myeong-yi (Seo's eventual wife) andJang-geum(Seo's daughter). Haunted by his prophesied fate at the hands of the third woman, he becomes paranoid and refuses to approach any woman. After many years the former king dies, and the Crown Prince ascends the throne and becomes increasingly violent and tyrannical, so Seo abandons his post in self-exile. Park Myeong-yi is apalace girland apprentice cook of the royal kitchen. She witnesses a fellow apprentice, a girl from the powerful Choi clan named Choi Seong-geum, slip poison into the Grand Royal Queen Dowager's food. Unaware that the senior kitchen officers are part of a conspiracy against the said Queen, Myeong-yi informs them. The officers, fearful that Myeong-yi might reveal their conspiracy, attempt to murder her by framing her committing adultery with a royal guard, then executing her with poison. Myeong-yi's best friend, Han Baek-young, manages to save her by secretly diluting the poison with amung beansoupand leaves the unconscious Myeong-yi a letter explaining what had happened. As Seo Cheon-soo wanders through the forest, he stumbles upon and rescues the half-conscious Myeong-yi, and the two fall in love and marry. They end up living peacefully in a remote village as lower caste commoners and raise a clever daughter named Seo Jang-geum. When Jang-geum is eight years old, King Yeongsan learns about the murder of his mother and vows revenge, seeking and killing people who were previously involved. Among them is Jang-geum's father, who so far managed to hide his identity. However, following an incident, Jang-geum accidentally reveals her father's identity and causes him to be arrested (and presumably executed later on). Her mother, rushing on the way to Hanyang to try save her husband, is spotted by the Choi family and eventually killed by an arrow. Jang-geum, now an orphan, is adopted by Kang Duk-gu and Na Ju-daek, a family making a living through selling wine. Two years later, Jang-geum enters the palace after King Jungjong ascends to the throne. She is committed to enter the middle kitchen (where her mother used to cook) to uncover a letter written by her mother. During this time, she meets Lady Han and they form a mother-daughter bond. The Right State Councillor Oh Gyeom-ho (the Choi clan's ally within the Royal Cabinet) frames Lady Han and Jang-geum as traitors in league withJo Gwang-jo, the famous Joseon reformer. In an effort to save Jang-geum, Lady Han declares that she alone is guilty of treason. Nonetheless, both are judged guilty and sent toJeju Islandto work as government slaves. On the way to Jeju, Lady Han dies from her injuries. Lady Choi replaces her as head of the royal kitchen, while Jang-geum vows revenge. Official Min Jeong-ho, who's in love with Jang-geum, follows her to Jeju Island and offers to help her escape, but she refuses since doing so would mean never being able to return to the palace to not only clear Lady Han's name, but obtain justice for her mother's death. Min Jeong-ho declares he will wait for her and help her out throughout her stay in Jeju. There, Jang-geum meets a woman named Jang-deok, a famous female doctor. Jang-deok's blunt and forthright manner at first offend her, but as time goes by, she begins to see that the female doctor is dedicated and caring. As the days go by, Jang-geum realizes that her only way back to the palace is to become afemale physician, and begs Jang-deok to teach her medicine. Jang-geum's friend, Jeong Woon-baek, an eccentric royal physician, disapproves of her decision to pursue medicine in order to take revenge, but, in spite of this, she perseveres and earns herself a post as a female doctor-in-training at the palace. Here she encounters her former friend Choi Keum-young, who has been promoted to head lady of the kitchen, while the ruthlessly ambitious Lady Choi is now in charge of all the women working in the palace. Jang-geum's childhood best friend, Lee Yeun-seng, has caught the king's eye, and is now his concubine. Jang-geum endures many trials at the palace, but manages to accomplish great feats. With Jang-geum's status rising, several events ensue that lead to an investigation of the Choi clan, resulting in the prosecution of Lady Choi, her elder brother and several high-ranking officials, including theChief State Councillor. Everyone tries to escape, but only Lady Choi manages to evade the guards. Jang-geum finds her and asks if she is willing to sacrifice her niece, Keum-young, to the authorities while she herself escapes. Having abandoned her ethics and conscience for the sake of the Choi clan a long time ago, Lady Choi is unable to respond. Torn between self-preservation and guilt, she wanders the countryside hallucinating, ends up falling off a cliff on Dongin Mountain and dies. Choi Keum-young loses her position and is exiled along with the other officials. Through her dedication, perseverance and medical skills, Jang-geum saves the royal family from re-occurring ill fortune. After giving birth to astillbornchild,Queen Munjeongremains ill. Jang-geum correctly identifies a second stillborn fetus in her womb and saves her life. She convinces the Dowager Queen to undergo medical treatment at the risk of being beheaded, and she also curesGrand Prince Gyeongwonofsmallpox, which earns her the permanent gratitude of the Queen. For her achievements King Jungjong makes Jang-geum a 6th rank official and appoints her to be his personal physician, the first woman to hold such a position. The court is in uproar and thestate councillorsunanimously oppose the appointment on the grounds that it violates the country's constitution. When the Dowager Queen humiliates herself to express her disapproval, the King revokes his decision. She urges the King to take Jang-geum as one of his concubines. Although he likes Jang-geum, he refrains from making her one of his concubines against her will. Jang-geum contains asmall poxepidemic, and the King finally decrees her his personal physician. She is granted the honorificDae(meaning ""The Great""), as well as the position of a third rank official. The ministers and scholars of the court bitterly accept the decree, but demand the punishment of Min Jeong-ho for supporting Jang-geum's appointment. Seeing an opportunity to separate the lovers, the King agrees and Jeong-ho is sentenced to exile. Eventually, the King's previous medical condition re-emerges. Jang-geum attempts to heal him using all the medical equipment and knowledge available at the time. The other doctors offer advice but nothing works. The king is dying. Jang-geum resorts to her last option—an experimental technique using newly ""discovered""anesthesiaandsurgery. However, the King's body is considered sacred and the court unanimously opposes this new procedure, and the King decides not to allow the operation. Knowing Jang-geum's life will be in danger after his death, he grants her escape to be with Min Jeong-ho. The two of them live asfugitivesand have a daughter, So-hoon. Eight years later, King Jungjong is dead and Grand Prince Gyeongwon has been enthroned, while his mother Queen Munjeong is now both the Royal Queen Dowager and the Regent, wielding enormous power. When she learns that Jang-geum is still in the country, she invites her and Jeong-ho to return to the palace and be reinstated to their previous positions. Jang-geum and Jeong-ho joyfully return, but decide to live outside the palace for the sake of their family. Jang-geum leaves the palace not before seeing her friends from afar. As they return to their previous routine, Jang-geum comes across a pregnant woman, and successfully uses her surgical skills to deliver the woman's baby viaCaesarean section. While she celebrates her success, Jeong-ho laments the repressive social climate of Korea, and its inability to accommodate a woman with ambitions. An intelligent, beautiful, and introverted woman whose compassionate nature and enthusiasm allow her to stand out from the crowd. Ever since her parents died during a political massacre, she has suffered many hardships and obstacles, especially in the palace, but she overcomes them with strong determination and perseverance. Being strong-willed, Jang-geum strives to reach her goal regardless of the obstacles she is facing. It is with her extraordinary medical skills and knowledge, as well as her integrity and highethicsto only use her knowledge to heal and cure, that she becomes the first female physician to the king, and namedDae(""the Great"") Jang-geum, becoming a third-ranked official, something unheard of at the time for a woman during the Joseon era. An educated, very intelligent and good-looking man, he is an outstandingscholarwho combines both learning and the martial arts. Jeong-ho is a judge of theHang Sung Boo, the ministry governing the affairs of the capital Hansung. Unaware of who he is, Jang-geum saves him upon being shot. They then meet again when she approaches him to borrow books. They become romantically involved as he moves toNae Geum Wee(the Royal Military Guard) asJong Sa Gwan, a senior officer. Ambitious and arrogant, Choi Keum-young starts her life in the palace as the niece of the influential Lady Choi, a former friend that becomes Jang-geum's lifelong rival. Although she is part of the Choi clan, she yearns to find her own way - never really accepting the Chois' way of doing things but unable to find her own independent identity. Her intelligence and talent often put her head-to-head with Jang-geum. Eventually Lady Choi's influence and her unreciprocated attraction to Min Jeong-ho prompt her to keep mostly to the Choi clan's ways. The 11th king of theJoseon Dynasty. Before he ascends the throne, he was known as Grand Prince Jinsung. He suffered from various illnesses, but Jang-Geum healed him for the first time. But when his illness re-emerges, Jang-Geum want to use her newly discovered method, theanaesthesiaandsurgerybut because they believed that the king's body is sacred for operations, he declined it. Instead, he helped Jang-Geum and Min-Jun-Ho to escape. As one of thesanggungsworking in the royal kitchen (soorakgan), she possesses a talent in culinary art and is able to identify the source of the ingredients in a dish. Best friend to Jang-geum's mother, she often misses and regrets not being able to save her friend. She is a rigorous, steadfast person who is not to be swayed from her purpose. Although obdurate in nature, she is actually very kind-hearted. Jang-geum's presence allows her to open up and she treats her as both a strict teacher and a kind mother figure. She also became the second mother to Yeun-Seng after Lady Jung died from illness. Choi Pan-sul's younger sister and Geum-young's aunt. With her family hierarchy and bloodline, she is expected to be the successor of thesoorakgan's highestsanggungrank. She learned and was being taught about the delicacy of food from a young age. Arrogant and too proud, she has a fierce need to get what she wants and will stop at nothing until she gets what she wants. Sharp-minded and quick to act, she is always a step ahead of plotting against Jang-geum and Lady Han. She hasn't been nice to Jang-geum, Jang-geum's mother and Lady Han. She framed Head Lady Park Yong-Shin holding private parties to became the Head Lady and to make Keum-Young became the Head Kitchen Lady. Jang-Geum's and Yeun-Seng's friend who loves eating. She also became the Kitchen Lady of Yeun-Seng when the latter is became pregnant to King's child. The envious and bossy kitchen lady. She believes that since she is the oldest, everyone should follow and fear her. She envies Keum-Young because she always won the competition when they were younger. When they are adults, she envies Keum-Young (again) and Jang-Geum when they were chosen as apprentices of Lady Choi and Lady Han for the competition instead of her. The theme song, Onara (Korean:오나라) is in Old Korean. This produced arguments about the lyrics and how they should be interpreted. As a result, different interpretations surfaced. Eventually the songwriter,Im Se-hyeon, revealed the lyrics.[6] The song is in thepansoristyle, a particular type of Korean music that emerged during theJoseonperiod and was very popular in the 19th century. It utilizes the vocals of one singer, asorikkun, and one drummer, agosu, to tell a themed story. Therefrain(""He-iya di-iya he-iya naranino"") is calledchu-imsaeand, in traditional pansori, it is supplied by the drummer to give rhythm to the song in addition to the beat.Chuimsaeconsists of meaninglessvowelsounds or short words of encouragement.Chuimsaeis analogous toscat singinginjazznonsense syllables such as ""La, la, la,"" or ""Shoop, shoop ba doop"" in English-language popular songs. The end of each episode ofJewel in the Palacefeatures ""Onara"" sung by three Korean children, Kim Ji-hyeon (Korean:김지현;Hanja:金智賢), Baek Bo-hyeon (Korean:백보현;Hanja:白寶賢), Kim Seul-gi (Korean:김슬기;Hanja:金슬기), who were elementary students learning Korean classic music at the time. TheJewel in the Palacesoundtrack album also features a slower version of the song sung by E Ahn (Korean:이안;Hanja:李安; her real name is Lee Dong-hee (Korean:이동희;Hanja:李冬熙)), aKorean traditional musicsinger who graduated from the Korean classical music department atSeoul National University. ""Onara"" has several other versions that were used withJewel in the Palace's release outside of Korea. ""Hope"" (希望Hèimohng) was the version sung byKelly CheninCantonesefor theHong Kongrelease. ""Baby"" (娃娃Wáwá) was sung byAngela ChanginMandarin Chinesefor theTaiwanrelease. ""Calling"" (呼唤Hūhuàn) sung byTang Can, and ""Hope"" (希望Xīwàng) sung by five winners of theSuper Girl singing contestwere among those used for the China release. For the Philippine release, Faith Cuneta sang an entirely different song (in contrast with her earlier work for the Philippine broadcast of ""Winter Sonata""), titled ""Pangarap na Bituin"" (a remake of theoriginalsung by the singer's 2nd-degree auntSharon Cunetaas the theme song for her 1984 film ""Bukas Luluhod Ang Mga Tala""). TheShamrocksong ""Alipin"" is also used andRegine Velasquezalso sings a version of this during the first re-run. In Sri Lanka, the Sinhalese version was sung byAngeline Gunathilakeand written by Athula Ransirilal; it was titled ""Gaha kola mal gal gesee bala sitinawa"" (The trees and flowers are looking at her). A Tamil version was also released with the title ""Maramilay pukkal urindu parkinrana."" Local musical instruments such as therabanwere used in the recording, and both songs were very popular among children. Jewel in the Palacewas part of theKorean WaveinEast Asia, where it gained immense popularity had a significant cultural impact. TheKorea Tourism OrganizationpromotedJewel in the Palace-oriented tourism in East Asia and the United States and the main outdoor sets built by MBC for the shooting of the drama were purchased by the South Korean government. TheDae Jang Geum Theme Parkwas opened inYongin,Gyeonggi Provincein December 2004 at the site of these sets where much of the filming occurred.[9] Jewel in the Palacerekindled public interest intraditional Korean cuisine, both locally and abroad.[10][11][12][13] In an episode ofKing of the Hill, Kahn and Minh were watchingJewel in the Palace(which is dubbed inLaotian). In episode 1 ofPrincess Hours, Chae-gyeong's family is watching episode 30 ofJewel in the Palace(Yeon-saeng being scolded for playing with the King's puppy). In episode 32 ofLove Truly, Yeo Bong-soon's mother (played byGeum Bo-ra) is watchingJewel in the Palace.Geum Bo-ra played Jang-geum's adoptive mother Na Joo-daek inDae Jang-geum. In episode 9 ofWho Are You, there is a largeJewel in the Palaceposter on the side of a building. In episode 2 ofSilence, a Taiwanese drama starring Park Eun-hye,Jewel in the Palaceis mentioned as a famous Korean drama. In episode 8 ofPlayful Kiss,Jewel in the Palaceis mentioned despite the bad cooking skills of the main character. In the final episode of the 2007 series,Yi San, a character played by Lee Ip-sae and her colleague have a moment of deja vu in the royal kitchen and come to believe that they worked there in their previous life. The same series takes place two centuries later in the Joseon Dynasty afterJewel in the Palace. Lee Ip-sae also starred inJewel in the Palaceand the other series is also produced by the same company and director. In season 2, episode 9 ofLearn Way,Im Horeprised his role asKing Jungjongto teachMijooabout acting in historical dramas. In 2007,Jewel in the Palacewas made into astage musicaltitled ""The Great Janggeum,"" staged at theSeoul Arts Centerfrom May 26 to June 16. Following the same storyline, it condensed 54 episodes of the original TV drama into a two-and-a-half-hour-long musical which combined Western orchestral music with traditional Korean group dances. An eye-catching 400 different traditional Korean costumes enhanced the beauty and scale of the stage, coupled with beautifully detailed stage settings. Producer Han Jin-sup said the musical used music to substitute for visual effects, ""rhythm and melodies that replace the enjoyment of watching beautiful sets of Korean food and also have lots of Korean colors and styles to amaze audiences"". For example, when girls in the royal kitchen made dumplings to win the cooking competition, ""plate dances"" expressed the enthusiasm of the girls and the variety of dumplings. A total of 40 songs for the musical were arranged and written by Cho Sung-woo, a famous film composer. This was the first time that Cho had written vocal and background music for a musical, saying, ""This is a great opportunity and an honor for musicians like me to have a chance to write songs for musical productions. I tried to make songs that have both the Korean and Western melodies."" Asked about how to deliver a storyline that requires some knowledge of Korean history to foreign audiences, co-chairman of PMC Production Song Seung-hwan cited the familiarity of most Asian viewers with the drama's plot and said the musical will highlight ""love,"" as a universal theme in the musical.[14][15][16] The musical was again staged at Sungjeon Hall inGyeonghuigungon September 5–30, 2008. Hosted by the Seoul Foundation for Arts and Culture and thegovernment of Seoul, it was the foundation's idea to put the ancient palaces to added use beyond mere preservation and protection for viewing.Gyeonghuigungwas one of theFive Grand Palacesbuilt in the Joseon period); about ten kings of the era stayed at the palace fromKing InjotoKing Cheoljong. In the latter Joseon period, the palace served as a secondary palace ― a place where the king moves in times of emergency, as it was situated on the west side of Seoul. The palace was built incorporating the slanted geography of the surrounding mountain and boasts traditional beauty along with architecture rich with historical significance. The upgraded version of the musical highlighted the musical elements to better portray each character based on the more historical facts, reinterpreting the work through a new theme rather than the episodes. Keeping the colors, patterns, touches of the structures intact, the production used the natural backgrounds, traditional atmosphere and the outdoor characteristics.[17]Audiences were surprised by the unconventional modern setting. While the story revolved around an historic palace from the Joseon period, the musical incorporatedhip hop, fast tempos and a dynamic staging. The actors even broke into rap, creating an imaginative, gutsy and intense show.[18] The animated rendition ofJewel in the Palace, calledJang Geum's Dreamis much the same story but focuses on Jang-geum in her younger years.[19] In September 2012, MBC announced its plans to produce asequel,Dae Jang Geum 2.[20][21][22]In his opening speech at a cultural contents forum inSeoulin October 2013, MBC president Kim Jong-guk reaffirmed the project, saying, ""We'll push for the production in the first half of 2015 after a year of pre-production.""[2][23][24][25] In March 2014, writer Kim Young-hyun confirmed that the series would be aired in October 2014, and that lead actressLee Young-aewho had previously turned down offers of a sequel since her semi-retirement from acting in 2006, is ""positively considering"" reprising her role.[26]In Kim's synopsis, Jang-geum will reportedly lose her husband and her daughter will be kidnapped and taken to China, leaving Jang-geum to try to find her. The first half of the series will be about her journey to China, where the original series has a big following, and filming will take place there. But Jang-geum will return home without success, and resume her life by looking for a young successor to take under her tutelage. Jang-geum will choose to train the daughter of Geum-young, Jang-geum's rival from the first series.[3] In China,Hunan TVpurchased the rights toJewel in the PalaceforUS$10,000 per episode following the success of the program in South Korea and Taiwan. Ratings for the program peaked at 180 million viewers and generated unprecedented profits for the station.[27]",https://en.wikipedia.org/wiki/Jewel_in_the_Palace
The Great Queen Seondeok,2009,62,imdb,8.6,"Lee Joong-moon, Jeong Woong-in, Kim Jung-hyun","Story of Queen Seondeok who was born a princess, brought up among commoners and overcame many trials to become the ruler of Silla.",MBC,"Kim Young-hyun, Park Sang-yeon","Kim Geun-hong, Park Hong-kyun","The series begins at the end of King Jinheung's reign and continues until the end of Queen Seondeok's reign. Deokman was born as one of the twin daughters of King Jinpyeong and Queen Maya, but due to a prophecy, King Jinpyeong had to send his daughter away from the palace with the help of his clumsy but loyal servant Seohwa, in order to save Queen Maya from being ousted by Mishil, whose ambition was to become Queen. Seohwa raised Deokman as if she were her own, but a turn of events eventually led Deokman into finding out her real identity - only to be abandoned once again by her family in order to save the throne from Mishil's hand, with the exception of her twin sister Cheonmyeon, who ended up losing her life while trying to help Deokman escape. Out of hatred, Deokman set out to take back what was taken from her and avenge her sister by bringing Mishil down and becoming the first female king of Silla with the help of her trusted friend, Yushin, and troubled rogue Bidam who she loved, and ultimately led a rebellion near the end of her reign because of a misunderstanding. It was filmed on location atMBC DramiainCheoin District,Yongin,Gyeonggi Province. Other historical dramas such asDong Yi,Moon Embracing the SunandJumongwere also filmed there.[20]It was filmed at the Shilla Millennium Park[21]in Gyeongju. The series adopted significantartistic licenseregarding the portrayal of historical events in order to accommodate the dramatic storyline. Notably, the reign of King Jinpyeong was compressed by over two decades such that in the series, Queen Seondeok was born within a year of his coronation (her actual date of birth is unknown). Accordingly, the preceding King Jinheung's reign was extended by a similar period, with him being depicted as an elderly man at his death. This allowed for Mishil and other prominent figures during Jinheung's reign to be involved in events concerning the Queen during her time as Royal Princess, even though there is no evidence to suggest what sort of interaction the two had if any.[22][23]Artistic license was used to imagine her as being of a similar age to Kim Yushin and Bidam, though again, it is not clear historically if this was the case.  Another major change was in the date of her death: Bidam's execution and Kim Alcheon's appointment to his post were ordered byJindeok of Silla, ten days after Queen Seondeok's death. Queen Jindeok is not mentioned in the series. Most dramatically, the real Seondeok likely never left Silla (stories concerning her childhood in the palace survive) and, although Byzantine artifacts did reach Silla during her childhood and reign, it is highly unlikely that she ever learned Greek.[original research?] On 31 December 2009, Kim Ji-young, an obscure playwright and representative of Great Works Ltd., a culture content company, filed aplagiarismlawsuit against MBC and screenwriters Kim Young-hyun and Park Sang-yeon, saying they plagiarized her script forSeondeok, Queen ofMugunghwa, an unperformed musical she said she wrote in 2005. Kim argued that the development of the story and conflict between characters were similar to her play, including discord between two major female characters, Seondeok and Mishil; a romance between Deokman and General Kim Yushin; and the story of the young Deokman wandering through a desert. The MBC drama contains all of these plot twists, which are not based on history but which Kim says she invented. Kim said she shared some of her scripts with the Korea Creative Content Agency to attract investment in the musical, and believed that was how the content was leaked.[24]Kim asked for ₩200 million in compensation and an injunction banning the broadcast of the soap opera. The injunction was turned down andQueen Seondeokran from May to December 2009, but the copyright infringement case continued. The MBC network and the series' writers maintained they did not know of the existence of Kim's play.[25]MBC had copyrighted its script in May 2008. After Kim requested an assessment by experts, the Seoul Southern District Court askedSeoul National University's Center for Law & Technology to investigate. In a process called a ""script autopsy,"" the center first identifies similar content in the two scripts. At that point, university historians confirm historical facts regarding the characters and plot, and differentiate them from literary creations. Afterward, the center makes an appraisal based on copyright laws, then the court makes the final adjudication.[26]In February 2011, the SNU Center for Law & Technology confirmed the plagiarism.[27] In December 2012, the High Court ruled in favor of plaintiff Kim Ji-young thatQueen Seondeokwas a work of plagiarism, and fined MBC ₩200 million (US$186,000). In its ruling, the court stated that though the characters and the details were in fact different, ""the overall plot was the same"" and it is ""most probable that the network relied on the script and plot of the musical to produce their drama.""[28]Furthermore, any additional reruns on cable TV and internet, and the making of DVD and related books were banned.[29][unreliable source?]",https://en.wikipedia.org/wiki/Queen_Seondeok_(TV_series)
Hwang Jin Yi,2006,24,imdb,7.9,"Ha Ji-Won, Jo Sung-ha, Jeon Mi-seon","This story is about the life of Joseon-era dancer, musician and poet, Hwang Jin Yi, who seeks perfection in her art relentlessly and the hardship facing women due to their lowly social status.",KBS2,Yoon Sun-joo,Kim Chul-kyu,"Hwang Jini is the illegitimate child of a nobleman and Hyun Geum, a blindgisaeng. A gisaeng is a singer, dancer and hostess who lives a life catering to the whims of theyangbanelite. Fearing that her young daughter will follow in her footsteps and determined that she should become more than a mere plaything for men, Hyun Geum sends Jini to a remote mountain temple to be cared for by an old monk. But one day, the seven-year-old Jini slips away from the temple and comes across a gisaeng performance, and is drawn to her destiny. Enraptured by the beauty of their singing and dancing, Jini runs away and enters the gibang, or gisaeng house, where she meets her mother for the first time. They discover that she displays an outstanding talent for dancing and playing thegeomungo. From that day on, Jini trains to becomeJoseon's top gisaeng. She studies under Im Baek-moo, one of the best court dancers in the kingdom and a harsh andmanipulativeteacher. Jini then falls in love with Kim Eun-ho, son of a powerful nobleman, but his parents refuse to accept the relationship due to the difference in their social status. Jini's first love ends in tragedy when in a futile attempt to elope with her, Eun-ho catchespneumoniaand dies.[6] Unable to forget Eun-ho, Jini no longer has any desire to dance; for the next five years, she spends her days making music and conversation with the middle class (becoming enormously wealthy in the process) and her nights drowning herself in misery and alcohol. While drunk, she decides to kill herself, but the poet Kim Jung-han saves her. Thus, Jini begins a troubled love affair with Jung-han. Meanwhile, she continually rejects Byuk Kye-soo, a royal relative who is obsessed with her, and faces off against Bu-yong, her rival in dancing and love. At Jini's side in times of need is her devoted bodyguard Yi-saeng. Jini later finds out that Baek-moo's scheming had a hand in Eun-ho's death, and jealousy and bitterness build between the two as they prepare for what turns out to be a fateful performance of the crane dance. In an age when women were treated as if they were invisible, Hwang Jini becomes a celebratedgisaeng-singer-dancer-poet of the 16th century. Her beauty, wit and intellect propels her from obscurity into the company ofJoseon's most powerful aristocrats, eventually winning the acclaim ofKing Jungjongand his court. In a relentlessly class-based society, Hwang Jini was a woman ahead of her time, who pursued art relentlessly and saw life in beautiful colors. She was both revered and reviled in her lifetime, and left her mark in history. The shooting schedule forHwang Jiniwas particularly arduous for a television series, sometimes going on for seven days  without a break.[1]In addition to such popular younger actors asHa Ji-won,Wang Bit-na,Kim JaewonandJang Keun-suk, the series featured many noted veteran Korean actors, includingKim Young-aeandKim Bo-yeon.[1]The costumes (designed by Kim Hye-sun), dances and music in the series were noted for their flamboyance and sensuality.[1] Source:TNS Media Korea",https://en.wikipedia.org/wiki/Hwang_Jini_(TV_series)
